metric,value,category,description
n_rows_raw,88121,calidad,Filas en serie cruda
n_features_raw,24,calidad,Columnas de sensores numericos en crudo
n_missing_values_total,0,calidad,Suma de missing por columna (quality)
n_timestamp_gaps,0,calidad,Filas en timestamp_gaps
n_batch_transitions,6,calidad,Transiciones de Batch detectadas
n_windows_total,1466,ventaneo,Ventanas despues de filtros de ventaneo
n_windows_modeling,1451.0,ventaneo,Ventanas usadas en modelado (sin transicion)
n_transition_windows_excluded,15.0,ventaneo,Ventanas excluidas por proximidad a transicion
n_model_features,120,ventaneo,Features numericas por ventana para ML
permanova_r2,0.2758498695429676,estadistica,PERMANOVA R² sobre ventanas
permanova_p_value,0.001,estadistica,PERMANOVA p-value
permdisp_F,26.93415084384733,estadistica,PERMDISP F
permdisp_p_value,0.001,estadistica,PERMDISP p-value
pca_explained_variance_PC1,0.3736375355475179,estadistica,Varianza explicada PC1
pca_explained_variance_PC2,0.1388105436950753,estadistica,Varianza explicada PC2
best_model_name,xgboost,modelo,Modelo seleccionado por metrica primaria
best_model_f1_macro_cv,0.935742837859186,modelo,F1 macro promedio en CV (comparativa)
best_model_balanced_accuracy_cv,0.9345908484289832,modelo,Exactitud balanceada promedio en CV
best_model_accuracy_cv,0.937554948269234,modelo,Accuracy CV mejor modelo
best_model_mcc_cv,0.908528636499934,modelo,MCC CV mejor modelo
best_model_kappa_cv,0.902134311443481,modelo,Kappa CV mejor modelo
training_f1_macro,1.0,modelo_final,F1 macro en entrenamiento final
training_balanced_accuracy,1.0,modelo_final,Exactitud balanceada en entrenamiento final
mean_confidence,0.99860155533134,modelo_final,Confianza media prediccion final
median_confidence,0.9995805621147156,modelo_final,Confianza mediana prediccion final
best_feature_consolidated,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g]__mean,interpretabilidad,Mejor feature consolidada
best_feature_raw_variable,LA BOMBA\AC LA A BOMBA\Aceleración Rms [g],interpretabilidad,Variable raw de mejor feature
top_raw_variable,LA MOTOR\AC LA H MOTOR\Aceleración Rms [g],interpretabilidad,Top variable raw agregada
top_component,bomba,interpretabilidad,Top componente (interpretabilidad)
top_family,acceleration_rms,interpretabilidad,Top familia (interpretabilidad)
top_position,la,interpretabilidad,Top posicion
top_statistic,p95,interpretabilidad,Top estadistico
shap_status,ok,interpretabilidad,Estado SHAP
n_weights_mapped,24,assessment,Pesos mapeados a columnas
n_weights_unmatched,0,assessment,Pesos sin match
median_available_weight,1.0000000000000002,assessment,Peso disponible mediano en indice
condition_index_mean,25.94305524180052,assessment,Indice de condicion medio
condition_index_median,25.32661780783169,assessment,Indice de condicion mediano
condition_index_p95,35.09593002396289,assessment,Indice de condicion p95
